date,ethnic wear,streetwear India,summer fashion 2025,boho style,minimalist outfit,kurta set trending,coquette aesthetic,cargo pants outfit,linen shirt women,oversized blazer outfit,old money style,capsule wardrobe,quiet luxury fashion,y2k fashion,airport outfit women,festive saree trends,indo western dress,maxi dress outfit,denim on denim,wedding guest outfit India,travel outfit women,monsoon fashion,gen z fashion trends,office wear women
2026-02-27,73,11,0,13,0,0,0,0,52,0,16,47,0,15,0,0,23,0,32,0,0,0,0,45
2026-02-28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,17,0,0,0,0,70
2026-03-01,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,20,0,0,0,0,51
2026-03-02,81,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,36,0,9,0,0,0,0,73
2026-03-03,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,12,0,0,0,0,55
2026-03-04,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,0,0,0,72
2026-03-05,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,58
2026-03-06,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,58
2026-03-07,81,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,33,0,10,0,0,0,0,65
2026-03-08,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,11,0,0,0,0,84
2026-03-09,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,0,0,0,0,79
2026-03-10,66,11,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24,0,0,0,0,0,0,54
2026-03-11,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,65
2026-03-12,69,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,32,0,11,0,0,0,0,71
2026-03-13,82,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,22,0,12,0,0,0,0,64
2026-03-14,92,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,81
2026-03-15,76,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,31,0,17,0,0,0,0,62
2026-03-16,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,16,0,0,0,0,82
2026-03-17,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,10,0,0,0,0,49
